acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-0.8142,-0.1233,-0.0125,3.5095,-6.8665,-2.037,2024-02-12 15:49:19.455,0.0
-0.8208,-0.1052,-0.0088,6.0196,-8.7204,-3.006,2024-02-12 15:49:19.455,0.0
-0.8091,-0.0869,-0.0156,7.8964,-10.4675,-3.7079,2024-02-12 15:49:19.479,0.0
-0.8081,-0.084,-0.0071,8.1787,-8.5449,-4.3106,2024-02-12 15:49:19.495,0.0
-0.8096,-0.0718,-0.0176,7.3242,-1.0223,-5.5161,2024-02-12 15:49:19.511,0.0
-0.8291,-0.0552,-0.0293,6.1722,5.7526,-4.8904,2024-02-12 15:49:19.528,0.0
-0.8621,-0.0483,-0.0342,4.8447,5.6686,-4.4174,2024-02-12 15:49:19.552,0.0
-0.8865,-0.0461,-0.0398,3.4943,0.2441,-2.8687,2024-02-12 15:49:19.571,0.0
-0.8884,-0.0425,-0.0361,2.4567,-7.5607,-1.297,2024-02-12 15:49:19.587,0.0
-0.866,-0.032,-0.0161,0.5493,-12.9166,0.2823,2024-02-12 15:49:19.603,0.0
-0.824,-0.0325,-0.0024,-1.1292,-13.031,-0.7935,2024-02-12 15:49:19.627,0.0
-0.8064,-0.0444,-0.0139,-1.7166,-10.4218,-3.1357,2024-02-12 15:49:19.643,0.0
-0.8071,-0.061,0.001,-1.8387,-6.1035,-3.6926,2024-02-12 15:49:19.660,0.0
-0.8159,-0.0779,0.0054,-2.1744,-3.1204,-3.7231,2024-02-12 15:49:19.679,0.0
-0.8269,-0.094,0.0112,-2.3117,-3.3417,-4.7607,2024-02-12 15:49:19.695,0.0
-0.8455,-0.092,0.0171,-0.6714,-2.0447,-4.631,2024-02-12 15:49:19.711,0.0
-0.8467,-0.0718,0.0071,0.4501,-2.2583,-4.2419,2024-02-12 15:49:19.736,0.0
-0.8489,-0.0767,0.0281,1.0071,-2.8839,-3.952,2024-02-12 15:49:19.752,0.0
-0.8496,-0.0745,0.0432,1.9455,-2.4796,-3.5553,2024-02-12 15:49:19.769,0.0
-0.8582,-0.0664,0.0386,2.4872,-0.5798,-2.8687,2024-02-12 15:49:19.787,
-0.8501,-0.0623,0.0022,2.7008,0.5112,-1.915,2024-02-12 15:49:19.803,0.0
-0.8884,-0.0427,0.0049,1.1444,4.8218,-0.1602,2024-02-12 15:49:19.828,0.0
-0.8445,-0.0562,0.0278,-0.1755,1.1292,-0.679,2024-02-12 15:49:19.836,0.0
-0.8279,-0.0671,0.0129,-0.473,-2.2964,-1.0452,2024-02-12 15:49:19.860,0.0
-0.8276,-0.062,0.0149,-1.2436,-0.9384,-0.7019,2024-02-12 15:49:19.876,0.0
-0.8376,-0.0608,0.0161,-1.8463,2.8229,-0.2823,2024-02-12 15:49:19.898,0.0
-0.8501,-0.0576,0.0281,-2.1591,3.0365,0.3204,2024-02-12 15:49:19.914,0.0
-0.8237,-0.0715,0.0195,-2.1439,-1.5793,0.2213,2024-02-12 15:49:19.930,0.0
-0.8091,-0.0872,0.0432,-0.5569,-4.2114,-0.145,2024-02-12 15:49:19.954,0.0
-0.8035,-0.093,0.0337,0.4272,-2.5711,-1.6632,2024-02-12 15:49:19.979,0.0
-0.8088,-0.0745,0.0168,0.8545,3.0594,-2.6245,2024-02-12 15:49:20.004,0.0
-0.814,-0.0876,0.0471,1.3962,5.2032,-3.4637,2024-02-12 15:49:20.004,0.0
-0.8381,-0.0955,0.0476,2.0905,8.9951,-3.5248,2024-02-12 15:49:20.029,0.0
-0.8477,-0.1025,0.0364,3.1052,8.8425,-2.8229,2024-02-12 15:49:20.037,0.0
-0.8525,-0.0852,0.032,3.4943,8.1406,-2.1439,2024-02-12 15:49:20.061,0.0
-0.8647,-0.092,0.009,1.976,10.6964,-0.8774,2024-02-12 15:49:20.079,0.0
-0.8562,-0.0789,0.0303,1.1444,9.8648,-0.1984,2024-02-12 15:49:20.087,0.0
-0.8513,-0.0759,0.0203,0.5264,8.1329,0.9384,2024-02-12 15:49:20.111,0.0
-0.8428,-0.0659,-0.0012,-1.1826,6.279,0.9918,2024-02-12 15:49:20.136,0.0
-0.8296,-0.061,0.0071,-2.3727,6.424,0.6104,2024-02-12 15:49:20.144,
-0.8228,-0.0684,0.0093,-3.3722,6.3248,0.0687,2024-02-12 15:49:20.168,0.0
-0.8381,-0.0618,0.012,-4.1428,6.1646,-0.4196,2024-02-12 15:49:20.184,0.0
-0.8384,-0.0537,0.0151,-4.8218,4.8294,-0.6485,2024-02-12 15:49:20.200,0.0
-0.8491,-0.0642,0.0205,-5.2414,4.2801,-0.6104,2024-02-12 15:49:20.217,0.0
-0.844,-0.0674,0.0125,-5.6381,4.0359,-0.7629,2024-02-12 15:49:20.233,0.0
-0.8459,-0.0686,0.0039,-5.5237,3.54,-0.7553,2024-02-12 15:49:20.259,0.0
-0.8489,-0.0762,0.0046,-5.5008,2.5406,-0.7858,2024-02-12 15:49:20.275,0.0
-0.8413,-0.0723,0.0073,-5.2719,2.0523,-1.03,2024-02-12 15:49:20.293,0.0
-0.8418,-0.0623,0.0186,-5.043,2.0142,-0.9842,2024-02-12 15:49:20.330,0.0
-0.8423,-0.071,-0.0034,-4.7302,1.9608,-0.9842,2024-02-12 15:49:20.330,0.0
-0.8286,-0.0713,-0.0032,-5.5771,2.2888,-0.8011,2024-02-12 15:49:20.347,0.0
-0.8262,-0.0691,0.0093,-5.1041,3.4943,-1.358,2024-02-12 15:49:20.363,0.0
-0.8457,-0.0583,0.0183,-5.043,5.3711,-1.8005,2024-02-12 15:49:20.387,0.0
-0.8501,-0.0715,0.0081,-4.715,4.5471,-1.8539,2024-02-12 15:49:20.395,0.0
-0.8582,-0.0652,-0.0034,-5.0201,2.0523,-1.152,2024-02-12 15:49:20.419,0.0
-0.8384,-0.0647,-0.0042,-4.5013,-0.1144,-0.6638,2024-02-12 15:49:20.436,0.0
-0.8174,-0.0645,0.0027,-4.5395,1.5945,-1.1749,2024-02-12 15:49:20.452,0.0
-0.8171,-0.0603,0.0073,-4.5319,4.9591,-1.9531,2024-02-12 15:49:20.469,0.0
-0.821,-0.0583,0.0083,-4.0359,7.6904,-2.6855,2024-02-12 15:49:20.493,0.0
-0.8401,-0.0598,0.0112,-3.8834,8.4915,-3.1509,2024-02-12 15:49:20.510,
-0.8486,-0.0586,-0.0132,-4.5013,6.7978,-2.4643,2024-02-12 15:49:20.526,0.0
-0.8518,-0.0574,-0.0305,-5.4092,4.4937,-2.2049,2024-02-12 15:49:20.543,0.0
-0.8335,-0.053,-0.0178,-5.722,3.9825,-1.8921,2024-02-12 15:49:20.567,0.0
-0.8342,-0.0579,-0.0159,-6.012,5.2567,-2.2812,2024-02-12 15:49:20.584,0.0
-0.8267,-0.0527,-0.043,-6.34,6.0349,-2.4414,2024-02-12 15:49:20.602,0.0
-0.8386,-0.0637,-0.0486,-7.0343,5.8365,-1.976,2024-02-12 15:49:20.619,0.0
-0.8416,-0.0649,-0.0557,-7.6752,5.8594,-1.3428,2024-02-12 15:49:20.643,0.0
-0.8311,-0.0593,-0.0503,-8.5831,6.6605,-1.2436,2024-02-12 15:49:20.659,0.0
-0.8323,-0.0613,-0.0671,-8.7738,8.9417,-1.9073,2024-02-12 15:49:20.667,0.0
-0.8323,-0.0532,-0.0623,-8.8882,10.6812,-2.6474,2024-02-12 15:49:20.692,0.0
-0.8455,-0.0684,-0.0947,-9.3536,10.5362,-2.2888,2024-02-12 15:49:20.716,0.0
-0.8333,-0.0688,-0.1079,-10.5133,10.3226,-2.9449,2024-02-12 15:49:20.724,0.0
-0.8391,-0.0676,-0.1089,-11.0626,11.3678,-4.3564,2024-02-12 15:49:20.749,0.0
-0.8425,-0.0688,-0.1208,-10.9634,11.1313,-4.7531,2024-02-12 15:49:20.766,0.0
-0.8318,-0.0618,-0.1572,-12.4283,10.2997,-4.715,2024-02-12 15:49:20.793,0.0
-0.8206,-0.0718,-0.1406,-12.9623,8.7357,-4.9438,2024-02-12 15:49:20.800,0.0
-0.823,-0.0686,-0.1516,-12.7258,7.5684,-4.6158,2024-02-12 15:49:20.825,0.0
-0.8008,-0.0933,-0.1797,-13.916,2.9449,-4.9362,2024-02-12 15:49:20.841,0.0
-0.7788,-0.1294,-0.2017,-14.8239,-1.3199,-6.3248,2024-02-12 15:49:20.849,0.0
-0.7981,-0.075,-0.2246,-13.1989,3.7766,-5.8746,2024-02-12 15:49:20.874,
-0.769,-0.0884,-0.2644,-12.4664,8.2932,-5.0583,2024-02-12 15:49:20.898,0.0
-0.8054,-0.0496,-0.2661,-9.7733,11.6043,-4.364,2024-02-12 15:49:20.909,0.0
-0.8318,-0.0383,-0.2512,-4.5395,13.5651,1.442,2024-02-12 15:49:20.933,0.0
-0.7153,-0.1519,-0.2649,-0.6943,7.6752,0.9918,2024-02-12 15:49:20.950,0.0
-0.6316,-0.1313,-0.1753,3.685,2.4185,-7.1259,2024-02-12 15:49:20.967,0.0
-0.5945,-0.2009,-0.0242,12.085,13.0997,-13.7253,2024-02-12 15:49:20.983,0.0
-0.5925,-0.1987,-0.0127,15.6479,27.6337,-20.7825,2024-02-12 15:49:21.000,0.0
-0.7158,-0.166,-0.0168,13.6719,44.5175,-22.3389,2024-02-12 15:49:21.024,0.0
-0.7891,-0.1343,-0.0447,16.8839,51.1856,-19.6838,2024-02-12 15:49:21.041,0.0
-0.8613,-0.092,-0.1001,13.2828,45.8832,-14.7095,2024-02-12 15:49:21.057,0.0
-0.8767,-0.0691,-0.1455,5.6992,32.1045,-7.4921,2024-02-12 15:49:21.073,0.0
-0.8708,-0.0676,-0.1267,-0.9842,19.6533,0.1602,2024-02-12 15:49:21.090,0.0
-0.7983,-0.1121,-0.1409,-6.8207,9.8572,4.5929,2024-02-12 15:49:21.109,0.0
-0.7009,-0.0913,-0.2271,-6.5384,10.1013,3.334,2024-02-12 15:49:21.125,0.0
-0.6699,-0.0771,-0.1956,-9.758,24.8489,-9.3536,2024-02-12 15:49:21.142,0.0
-0.7458,-0.1482,0.0122,-12.3215,38.1546,-28.6942,2024-02-12 15:49:21.167,0.0
-0.9395,-0.1025,0.1331,-4.7455,28.0228,-32.7148,2024-02-12 15:49:21.191,0.0
-0.9331,-0.137,0.0298,0.7858,8.728,-20.8969,2024-02-12 15:49:21.207,0.0
-0.7339,-0.1987,-0.0046,-0.9308,4.7531,-9.0637,2024-02-12 15:49:21.231,0.0
-0.5647,-0.1716,0.0115,-3.2959,18.0206,-8.728,2024-02-12 15:49:21.239,
-0.5383,-0.1562,0.0137,-0.3281,32.2723,-15.9454,2024-02-12 15:49:21.263,0.0
-0.6292,-0.1125,-0.0547,1.9989,29.4037,-23.4985,2024-02-12 15:49:21.271,0.0
-1.0234,-0.1179,0.0071,-0.2594,19.3481,-19.3253,2024-02-12 15:49:21.295,0.0
-0.7417,-0.1091,0.0403,1.0605,19.5999,-14.8773,2024-02-12 15:49:21.312,0.0
-0.8752,-0.1345,0.0769,5.5084,10.2997,-6.2485,2024-02-12 15:49:21.328,0.0
-0.7783,-0.1631,0.0156,6.2408,-5.4398,12.3749,2024-02-12 15:49:21.344,0.0
-0.5698,-0.1199,0.0732,9.3994,-20.2408,3.8528,2024-02-12 15:49:21.369,0.0
-0.6526,-0.0471,-0.0417,9.9564,-29.4037,0.2823,2024-02-12 15:49:21.385,0.0
-0.7373,-0.0071,-0.0581,6.752,-37.0255,5.3406,2024-02-12 15:49:21.402,0.0
-0.7009,-0.0281,-0.0088,3.3035,-51.1169,11.1771,2024-02-12 15:49:21.418,0.0
-0.7793,-0.0715,0.0078,2.6398,-56.5033,6.7978,2024-02-12 15:49:21.442,0.0
-0.894,-0.1235,-0.0786,3.9368,-59.761,4.3106,2024-02-12 15:49:21.459,0.0
-0.8772,-0.2048,-0.0947,5.8517,-61.4166,3.7384,2024-02-12 15:49:21.476,0.0
-0.8823,-0.1184,-0.2375,6.5689,-63.3698,5.0735,2024-02-12 15:49:21.492,0.0
-0.9565,-0.1748,-0.1013,7.8049,-65.9943,8.0032,2024-02-12 15:49:21.508,0.0
-0.8582,-0.1863,-0.0149,8.316,-73.7305,10.9634,2024-02-12 15:49:21.535,0.0
-0.822,-0.1519,0.0791,9.7733,-75.7599,8.5831,2024-02-12 15:49:21.552,0.0
-0.7344,-0.1135,0.094,13.7787,-72.5555,0.9689,2024-02-12 15:49:21.568,0.0
-0.6152,-0.0503,-0.0273,15.6708,-63.3621,-5.7602,2024-02-12 15:49:21.584,0.0
-0.78,-0.042,0.0925,11.7035,-66.246,-5.7602,2024-02-12 15:49:21.609,
-0.79,-0.0706,0.0505,7.8964,-63.5757,-5.5237,2024-02-12 15:49:21.627,0.0
-0.9233,-0.1941,0.0081,5.4016,-60.1196,-4.1962,2024-02-12 15:49:21.651,0.0
-0.9602,-0.1921,0.0632,4.6005,-59.3719,-4.0054,2024-02-12 15:49:21.667,0.0
-1.0264,-0.1794,0.1038,4.9057,-62.9959,-4.4403,2024-02-12 15:49:21.692,0.0
-1.0295,-0.1462,0.1479,4.9515,-71.3425,0.4807,2024-02-12 15:49:21.700,0.0
-1.0308,-0.0801,0.186,2.8534,-75.0809,3.1128,2024-02-12 15:49:21.719,0.0
-0.9927,-0.0635,0.231,0.3204,-77.1637,5.4245,2024-02-12 15:49:21.727,0.0
-0.949,-0.0725,0.2927,0.2289,-73.3261,3.5782,2024-02-12 15:49:21.751,0.0
-1.0156,-0.1194,0.2844,0.9079,-66.6504,4.6768,2024-02-12 15:49:21.767,0.0
-1.084,-0.1536,0.251,1.4572,-59.2041,10.0708,2024-02-12 15:49:21.783,0.0
-1.125,-0.1553,0.2583,2.8,-60.3561,12.3291,2024-02-12 15:49:21.800,0.0
-1.0996,-0.1096,0.2551,4.0741,-62.3856,12.6724,2024-02-12 15:49:21.819,0.0
-1.0623,-0.103,0.2954,2.8534,-62.8433,8.1863,2024-02-12 15:49:21.836,0.0
-1.0459,-0.1006,0.3777,1.236,-57.1518,5.5008,2024-02-12 15:49:21.861,0.0
-0.9905,-0.1013,0.4141,-0.3433,-52.6352,2.6016,2024-02-12 15:49:21.877,0.0
-0.8667,-0.0977,0.4705,0.4196,-46.9208,9.7885,2024-02-12 15:49:21.893,0.0
-0.7241,-0.0742,0.4863,-0.5798,-36.3617,14.3051,2024-02-12 15:49:21.910,0.0
-0.6392,-0.0725,0.4785,-4.0283,-17.8223,12.9395,2024-02-12 15:49:21.935,0.0
-0.6501,-0.0869,0.4724,-5.661,-8.1711,10.0861,2024-02-12 15:49:21.952,0.0
-0.5862,-0.1628,0.481,-4.4174,-5.4474,5.4932,2024-02-12 15:49:21.968,
-0.6887,-0.1689,0.511,-1.8997,-11.9019,3.4637,2024-02-12 15:49:21.984,0.0
-0.6711,-0.1458,0.4573,-0.5569,-10.1624,3.2959,2024-02-12 15:49:22.001,0.0
-0.6487,-0.1313,0.4541,-1.6174,-3.4714,1.9608,2024-02-12 15:49:22.018,0.0
-0.7327,-0.1294,0.3948,-4.2648,4.3945,0.1144,2024-02-12 15:49:22.034,0.0
-0.8547,-0.1318,0.426,-7.3624,1.8921,-1.8845,2024-02-12 15:49:22.059,0.0
-0.8682,-0.1179,0.4155,-6.279,-6.0806,-2.449,2024-02-12 15:49:22.075,0.0
-0.8901,-0.106,0.4319,-3.9978,-16.0522,-2.3346,2024-02-12 15:49:22.100,0.0
-0.8672,-0.1082,0.4019,-1.5411,-24.1165,-1.7853,2024-02-12 15:49:22.108,0.0
-0.8508,-0.0891,0.4021,-0.1373,-22.5983,-1.7776,2024-02-12 15:49:22.133,0.0
-0.8726,-0.0686,0.4097,0.7477,-21.8582,-1.3275,2024-02-12 15:49:22.150,0.0
-0.8621,-0.0566,0.4197,0.4959,-23.1857,0.3891,2024-02-12 15:49:22.166,0.0
-0.8442,-0.0559,0.4355,1.0681,-25.0473,2.4948,2024-02-12 15:49:22.182,0.0
-0.825,-0.0635,0.4697,1.1139,-26.7715,4.1428,2024-02-12 15:49:22.207,0.0
-0.8259,-0.0698,0.5061,1.0529,-26.3596,4.7607,2024-02-12 15:49:22.215,0.0
-0.8149,-0.0823,0.542,1.3657,-25.5127,6.2103,2024-02-12 15:49:22.240,0.0
-0.7864,-0.0969,0.553,2.3193,-24.4675,5.8823,2024-02-12 15:49:22.256,0.0
-0.7588,-0.1152,0.5691,3.3264,-22.6364,5.2032,2024-02-12 15:49:22.273,0.0
-0.7378,-0.1089,0.603,4.1885,-18.8065,3.5629,2024-02-12 15:49:22.289,0.0
-0.7241,-0.0952,0.5994,4.6768,-11.4975,2.9602,2024-02-12 15:49:22.306,0.0
-0.7097,-0.1057,0.6035,4.1962,-6.4774,2.2507,2024-02-12 15:49:22.331,
-0.728,-0.1096,0.5984,3.7994,-4.6539,0.7477,2024-02-12 15:49:22.348,0.0
-0.7544,-0.1113,0.584,3.5248,-3.952,0.473,2024-02-12 15:49:22.364,0.0
-0.7786,-0.1001,0.5837,4.3335,-1.9989,1.1444,2024-02-12 15:49:22.380,0.0
-0.739,-0.0955,0.5654,5.5771,2.2736,2.1133,2024-02-12 15:49:22.396,0.0
-0.7539,-0.1155,0.5544,6.1111,-2.3041,3.7079,2024-02-12 15:49:22.421,0.0
-0.7737,-0.1074,0.542,5.5847,-7.7591,4.1656,2024-02-12 15:49:22.437,0.0
-0.7637,-0.0806,0.5261,4.4479,-13.588,4.425,2024-02-12 15:49:22.453,0.0
-0.7439,-0.0483,0.5361,3.1738,-15.3809,4.4403,2024-02-12 15:49:22.470,0.0
-0.7437,-0.0508,0.5586,2.7771,-14.8697,4.3335,2024-02-12 15:49:22.494,0.0
-0.7266,-0.0503,0.5752,2.7161,-13.8626,3.5172,2024-02-12 15:49:22.511,0.0
-0.7334,-0.0508,0.5884,3.2959,-12.7029,3.3646,2024-02-12 15:49:22.527,0.0
-0.7527,-0.0527,0.593,3.5934,-11.4212,3.8147,2024-02-12 15:49:22.544,0.0
-0.7419,-0.0422,0.5901,3.891,-9.8648,4.1809,2024-02-12 15:49:22.560,0.0
-0.7234,-0.0471,0.5964,4.3945,-7.8201,3.9368,2024-02-12 15:49:22.584,0.0
-0.708,-0.0483,0.6211,5.2261,-5.6305,2.9297,2024-02-12 15:49:22.601,0.0
-0.6924,-0.0422,0.6182,5.1956,-3.212,2.1973,2024-02-12 15:49:22.617,0.0
-0.7156,-0.0425,0.6057,5.2872,-0.885,1.6022,2024-02-12 15:49:22.634,0.0
-0.7102,-0.0449,0.5977,5.1422,0.7095,1.7319,2024-02-12 15:49:22.652,0.0
-0.7295,-0.0388,0.5967,5.394,0.9384,1.9531,2024-02-12 15:49:22.668,0.0
-0.728,-0.0347,0.5977,5.8136,-2.0447,2.1896,2024-02-12 15:49:22.684,
-0.7271,-0.0227,0.6111,5.8975,-5.8517,2.037,2024-02-12 15:49:22.709,0.0
-0.7217,-0.0161,0.6172,5.4703,-8.3618,1.5869,2024-02-12 15:49:22.725,0.0
-0.7085,-0.0168,0.6292,5.188,-8.2855,1.3657,2024-02-12 15:49:22.742,0.0
-0.7012,-0.0181,0.6414,4.4556,-5.2567,1.1826,2024-02-12 15:49:22.758,0.0
-0.6985,-0.0134,0.6438,3.4027,-1.2665,0.351,2024-02-12 15:49:22.775,0.0
-0.7187,-0.0103,0.6272,2.5024,1.9608,-1.0452,2024-02-12 15:49:22.800,0.0
-0.7122,-0.0049,0.613,2.2812,4.6463,-2.2888,2024-02-12 15:49:22.817,0.0
-0.7148,0.0042,0.5923,2.0447,7.6141,-3.479,2024-02-12 15:49:22.833,0.0
-0.7244,-0.0042,0.5762,1.5869,9.0942,-3.8071,2024-02-12 15:49:22.857,0.0
-0.7356,-0.0015,0.5571,1.1139,9.1171,-2.8915,2024-02-12 15:49:22.873,0.0
-0.7456,-0.0061,0.5542,0.8469,9.14,-2.1515,2024-02-12 15:49:22.897,0.0
-0.7495,-0.0181,0.554,0.5188,8.1635,-1.8845,2024-02-12 15:49:22.905,0.0
-0.7495,-0.0164,0.5554,0.5875,7.6141,-1.3504,2024-02-12 15:49:22.929,0.0
-0.7456,-0.0259,0.5276,0.2213,8.3847,-1.6403,2024-02-12 15:49:22.945,0.0
-0.7493,-0.0391,0.5151,-0.8469,12.7945,-1.3885,2024-02-12 15:49:22.961,0.0
-0.7625,-0.0459,0.5061,-3.0746,14.7934,-0.8621,2024-02-12 15:49:22.977,0.0
-0.8057,-0.0559,0.5366,-2.6321,14.7858,0.9995,2024-02-12 15:49:23.002,0.0
-0.7856,-0.0408,0.5452,-1.9531,7.637,1.3733,2024-02-12 15:49:23.010,0.0
-0.7661,-0.0117,0.5808,-1.2131,-1.2054,-0.7858,2024-02-12 15:49:23.035,0.0
-0.719,-0.0154,0.5869,-2.1744,-5.6686,-2.2888,2024-02-12 15:49:23.047,
-0.7097,0.0061,0.5801,-5.0201,-3.4256,-3.3951,2024-02-12 15:49:23.071,0.0
-0.7007,0.0156,0.6111,-6.3705,1.7853,-3.2425,2024-02-12 15:49:23.095,0.0
-0.6868,0.0083,0.6116,-6.4926,6.6299,-3.7384,2024-02-12 15:49:23.103,0.0
-0.6687,-0.011,0.6218,-6.897,11.4059,-5.9586,2024-02-12 15:49:23.127,0.0
-0.6558,-0.0281,0.6375,-7.2327,15.2817,-8.3694,2024-02-12 15:49:23.143,0.0
-0.6597,-0.0344,0.6416,-7.2784,21.8506,-11.0092,2024-02-12 15:49:23.161,0.0
-0.6785,-0.0271,0.6455,-6.813,28.6713,-12.3138,2024-02-12 15:49:23.177,0.0
-0.6443,-0.0403,0.6196,-7.8354,38.559,-15.1138,2024-02-12 15:49:23.193,0.0
-0.667,-0.0244,0.5989,-12.886,48.8052,-21.4386,2024-02-12 15:49:23.219,0.0
-0.7456,-0.0281,0.6069,-21.0114,56.7474,-35.3622,2024-02-12 15:49:23.235,0.0
-0.9858,-0.0166,0.6128,-26.2756,52.2842,-46.1578,2024-02-12 15:49:23.252,0.0
-1.0603,0.0049,0.6426,-25.2457,42.3355,-38.2538,2024-02-12 15:49:23.276,0.0
-1.0127,-0.0254,0.6223,-22.3007,42.2897,-27.6489,2024-02-12 15:49:23.284,0.0
-1.0852,-0.0183,0.5972,-18.1427,47.5693,-18.1885,2024-02-12 15:49:23.309,0.0
-1.1135,-0.0293,0.6411,-11.1542,52.5131,-8.5678,2024-02-12 15:49:23.325,0.0
-1.0745,-0.1526,0.6162,-4.5547,50.0565,-2.739,2024-02-12 15:49:23.341,0.0
-0.9575,-0.2258,0.5559,-1.0223,40.9927,-4.9133,2024-02-12 15:49:23.358,0.0
-0.8979,-0.2048,0.5344,-1.4496,38.8718,-9.3002,2024-02-12 15:49:23.374,0.0
-0.8811,-0.1792,0.4858,-3.2883,49.0494,-10.6735,2024-02-12 15:49:23.401,0.0
-0.926,-0.1604,0.4617,-4.1046,56.4117,-9.3689,2024-02-12 15:49:23.409,
-0.9275,-0.1768,0.4231,-3.9444,56.2744,-7.1869,2024-02-12 15:49:23.434,0.0
-0.8831,-0.176,0.4099,-2.3575,51.9333,-7.9193,2024-02-12 15:49:23.450,0.0
-0.8792,-0.1868,0.3735,-1.5259,48.5764,-7.2708,2024-02-12 15:49:23.466,0.0
-0.8577,-0.1531,0.3435,-1.6632,50.8957,-7.1564,2024-02-12 15:49:23.482,0.0
-0.886,-0.1057,0.3303,-1.0834,52.2308,-6.134,2024-02-12 15:49:23.507,0.0
-0.9231,-0.0837,0.2893,-0.7935,53.6423,-4.8599,2024-02-12 15:49:23.523,0.0
-0.9033,-0.113,0.2661,-0.0076,54.0466,-4.8447,2024-02-12 15:49:23.544,0.0
-0.8689,-0.1394,0.2058,-0.3052,52.9022,-5.3558,2024-02-12 15:49:23.592,0.0
-0.8313,-0.1743,0.1826,-0.7935,53.8712,-6.5002,2024-02-12 15:49:23.592,0.0
-0.8372,-0.2029,0.1526,-1.8616,56.015,-7.7057,2024-02-12 15:49:23.600,0.0
-0.8599,-0.1921,0.145,-1.5793,57.5256,-8.1253,2024-02-12 15:49:23.624,0.0
-0.8628,-0.2056,0.1338,-1.3733,56.9916,-9.0637,2024-02-12 15:49:23.632,0.0
-0.8591,-0.1929,0.1331,-1.5182,54.8325,-10.0708,2024-02-12 15:49:23.658,0.0
-0.845,-0.1702,0.1365,-1.4191,49.5682,-7.8049,2024-02-12 15:49:23.666,0.0
-0.8313,-0.1619,0.1211,-2.3193,45.6238,-6.1264,2024-02-12 15:49:23.691,0.0
-0.8025,-0.1252,0.1206,-3.746,42.4881,-5.2872,2024-02-12 15:49:23.724,0.0
-0.7905,-0.1387,0.1094,-5.5237,38.8031,-4.6234,2024-02-12 15:49:23.724,0.0
-0.802,-0.1257,0.1143,-6.9351,37.0789,-3.9673,2024-02-12 15:49:23.740,0.0
-0.7832,-0.1326,0.1238,-6.9427,32.4707,-3.5477,2024-02-12 15:49:23.757,0.0
-0.7856,-0.1655,0.1145,-6.1569,29.0375,-3.1281,2024-02-12 15:49:23.781,
-0.7761,-0.1638,0.1204,-5.9433,26.4359,-2.3193,2024-02-12 15:49:23.789,0.0
-0.7786,-0.1584,0.1099,-5.1727,26.3977,-0.6027,2024-02-12 15:49:23.815,0.0
-0.7908,-0.1401,0.1011,-5.2795,29.007,1.2817,2024-02-12 15:49:23.832,0.0
-0.8,-0.1438,0.0737,-5.1956,31.8832,3.1357,2024-02-12 15:49:23.857,0.0
-0.8369,-0.1621,0.0457,-5.1193,34.2712,5.4016,2024-02-12 15:49:23.865,0.0
-0.8882,-0.1321,-0.052,-9.9411,45.9671,10.8185,2024-02-12 15:49:23.889,0.0
-0.8347,-0.1484,-0.0251,-11.9781,44.0979,12.825,2024-02-12 15:49:23.907,0.0
-0.8101,-0.165,0.0583,-7.37,26.9699,10.376,2024-02-12 15:49:23.949,0.0
-0.8113,-0.1743,0.0332,-1.5793,17.2806,10.6964,2024-02-12 15:49:23.949,0.0
-0.7949,-0.1414,-0.0486,-0.7553,19.7983,12.5198,2024-02-12 15:49:23.958,0.0
-0.7231,-0.1562,-0.0588,-2.6627,24.0326,12.1613,2024-02-12 15:49:23.974,0.0
-0.6948,-0.1323,0.0649,0.885,24.3149,10.4599,2024-02-12 15:49:23.998,0.0
-0.7065,-0.0854,0.0491,5.806,22.6746,13.7863,2024-02-12 15:49:24.008,0.0
-0.689,-0.0649,-0.0095,6.7139,16.9373,16.7847,2024-02-12 15:49:24.049,0.0
-0.6614,-0.0627,-0.0415,7.1869,13.5422,18.0893,2024-02-12 15:49:24.057,0.0
-0.6379,-0.0757,-0.0676,7.2021,11.2915,17.8833,2024-02-12 15:49:24.065,0.0
-0.5845,-0.1001,-0.0649,6.6376,4.8218,15.9836,2024-02-12 15:49:24.082,0.0
-0.573,-0.1062,-0.0657,8.4686,-1.7166,11.9476,2024-02-12 15:49:24.100,0.0
-0.5911,-0.0901,-0.0503,10.5133,-0.5493,7.7209,2024-02-12 15:49:24.124,0.0
-0.6323,-0.051,-0.052,10.7117,-0.8469,6.6452,2024-02-12 15:49:24.141,
-0.6489,-0.0461,-0.0713,9.5596,-1.9455,6.5842,2024-02-12 15:49:24.158,0.0
-0.6455,-0.0654,-0.165,7.9117,-0.0916,4.2038,2024-02-12 15:49:24.182,0.0
-0.6624,-0.0872,-0.2896,6.6452,5.5771,1.0529,2024-02-12 15:49:24.200,0.0
-0.6985,-0.0698,-0.3257,2.0218,8.8043,-2.9678,2024-02-12 15:49:24.225,0.0
-0.7649,-0.0757,-0.2822,-3.9139,10.5972,-4.2648,2024-02-12 15:49:24.225,0.0
-0.8035,-0.0693,-0.2151,-4.7607,11.3831,-4.6463,2024-02-12 15:49:24.259,0.0
-0.8015,-0.0725,-0.2095,-2.9831,5.6534,-5.9052,2024-02-12 15:49:24.268,0.0
